EAN,Merk,Product,Categorie,Volume,Aantal,Inkoopprijs,Minimaal,Maximaal,Winkelprijs,Winstlaag,Winsthoog,SKU,Notities
4011700747429,4711 Acqua Colonia,Myrrh & Kumq,EDC,50 ml,3,10,-16.32,-16.32644628,Niet geleverd,undefined,undefined,undefined,undefined
4011700747436,4711 Acqua Colonia,Saffron & Ir,EDC,50 ml,0,8.5,21.95,23.95,33.1,0.955785124,2.393801653,4712021,Bemiddeling - �1.76 | EasyCosmetic �20.15
4011700744022,4711 Ice Green,,EDC,400 ml,4,13,34.95,37.95,58.36,5.802892562,7.959917355,4712022,Beautyvault �30.30
4011700746002,4711 Original,,EDC,50 ml,0,6,18.95,19.95,25.4,1.298760331,2.017768595,4712023,
111339086051,Abercrombie & Fitc,Fierce Colog,EDC,100 ml,0,41,99.95,109.95,129.95,24.53842975,31.7285124,ABE6303,
35100009684,Abercrombie & Fitc,Fierce Colog,EDC,50 ml,0,30,69.95,79.95,99.95,13.96818182,21.15826446,ABE6302,
85715167507,Abercrombie & Fitc,First Instin,EDP,100 ml,0,49.05,51.95,80.95,90.07,-18.02396694,2.827272727,ABE6301,
8028713570100,Acqua di Parma,Blu Mediterr,EDT,150 ml,0,56.43,91.95,95.95,130.25,3.356363636,6.232396694,ACQ2107,Parfumeasy �93
8028713570162,Acqua di Parma,Blu Mediterr,EDT,75 ml,0,35.11,61.95,73.95,87.56,3.106115702,11.73421488,ACQ2108,Parfum Offers �74.95
8028713570032,Acqua di Parma,Blu Mediterr,EDT,75 ml,0,22,64.95,69.95,86.69,18.3731405,21.96818182,ACQ2101,
8028713570049,Acqua di Parma,Blu Mediterr,EDT,150 ml,0,56.43,89.95,94.95,130.25,1.918347107,5.51338843,ACQ2110,Bol.com �80
8028713570070,Acqua di Parma,Blu Mediterr,EDT,75 ml,0,22,59.95,64.95,86.69,14.77809917,18.3731405,ACQ2102,
8028713510076,Acqua di Parma,Collezione B,1,18.81,37.95,39.95,50.18,2.149917355,3.587933884,ACQ2111,undefined,undefined,undefined
8028713240218,Acqua di Parma,Colonia Ambr,EDC,100 ml,0,82.76,126.95,131.95,200.51,2.191652893,5.786694215,ACQ2112,Bemiddeling - �0.41 | EasyCosmetic �128.97
8028713240515,Acqua di Parma,Colonia Eban,EDC,100 ml,2,82.76,126.95,131.95,200.51,2.191652893,5.786694215,ACQ2113,Dvasi �89.99
8028713000089,Acqua di Parma,Colonia,EDC,50 ml,0,23,44.95,47.95,87.74,2.992975207,5.15,ACQ2104,Bol.com �49.39
8028713270024,Acqua di Parma,Colonia Pura,EDC,100 ml,0,56.43,89.95,94.95,123.84,1.918347107,5.51338843,ACQ2114,Parfum Offers �86
8028713240317,Acqua di Parma,Colonia Quer,EDC,100 ml,0,36,114.95,119.95,193.18,40.32355372,43.91859504,ACQ2105,undefined
8028713400025,Acqua di Parma,Peonia Nobil,EDP,100 ml,0,67.72,104.95,109.95,150.54,1.413471074,5.008512397,ACQ2109,EasyCosmetic �94.28
8028713400018,Acqua di Parma,Peonia Nobil,EDP,50 ml,0,50.16,82.95,84.95,109.97,3.155289256,4.593305785,ACQ2115,Parfum Offers �89.95 | 100 ml �94.28
8028713490019,Acqua di Parma,Rosa Nabile,EDP,50 ml,0,23,86.95,89.95,108.88,33.19132231,35.34834711,ACQ2106,undefined
3412245810028,Adidas,Pure Lightne,EDT,50 ml,0,2.59,16.95,29.95,-8.916446281,3.270743802,ADI9800,,undefined
3614221323229,Adidas,UEFA Champio,EDT,100 ml,0,4.5,18.95,19.95,29.9,2.798760331,3.517768595,ADI9801,undefined
887167188952,Aerin,Amber Musk,EDP,100 ml,0,44,94.95,99.95,147.9,17.94338843,21.53842975,AER3214,
887167001978,Aerin,Amber Musk,EDP,50 ml,0,32,74.95,79.95,106.08,15.56322314,19.15826446,AER3215,
887167188983,Aerin,Evening Rose,EDP,100 ml,0,39,109.95,147.9,-45.32644628,33.7285124,AER3211,,undefined
887167001992,Aerin,Evening Rose,EDP,50 ml,0,50,79.95,106.08,-56.32644628,1.158264463,AER3209,,undefined
887167188884,Aerin,Gardenia Rat,EDP,100 ml,0,39,99.95,109.95,147.9,26.53842975,33.7285124,AER3212,
887167360068,Aerin,Hibiscus Pal,EDP,50 ml,0,33,74.95,79.95,106.08,14.56322314,18.15826446,AER3213,
887167109421,Aerin,Ikat Jasmine,0,9.75,37.95,56.09,-16.07,11.20991736,AER3201,,undefined,undefined,undefined
887167188976,Aerin,Ikat Jasmine,EDP,100 ml,0,38,104.95,147.9,-44.32644628,31.13347107,AER3202,,undefined
887167188976,Aerin,Ikat Jasmine,EDP,100 ml,0,28,114.95,147.9,-34.32644628,48.32355372,AER3202,,undefined
887167151055,Aerin,Iris Meadow ,0,9.75,37.95,56.09,-16.07,11.20991736,AER3203,,undefined,undefined,undefined
887167188969,Aerin,Lilac Path,EDP,100 ml,0,50,114.95,147.9,-56.32644628,26.32355372,AER3204,,undefined
887167188969,Aerin,Lilac Path,EDP,100 ml,0,28,119.95,147.9,-34.32644628,51.91859504,AER3204,,undefined
887167001961,Aerin,Lilac Path,EDP,50 ml,0,28,79.95,106.08,-34.32644628,23.15826446,AER3205,,undefined
887167191365,Aerin,Mediterranea,0,9.75,39.95,56.09,-16.07,12.64793388,AER3206,,undefined,undefined,undefined
887167191327,Aerin,Mediterranea,EDP,50 ml,0,32,69.95,74.95,106.09,11.96818182,15.56322314,AER3216,
887167236295,Aerin,Tangier Vani,0,9.75,32.95,34.95,56.09,7.614876033,9.052892562,AER3207,,undefined,undefined
